Rojo_Norm,Verde_Norm,Azul_Norm,Claro_Norm,Fruta
161,146,90,130,0
151,139,89,130,0
151,138,95,130,0
149,136,85,126,0
133,118,78,110,0
132,117,71,110,0
132,117,71,110,0
132,116,69,107,0
141,126,76,117,0
45,115,94,136,0
140,125,77,136,0
150,132,81,120,0
146,134,83,123,0
150,138,87,130,0
157,146,88,130,0
151,141,89,130,0
152,141,89,149,0
153,142,90,133,0
154,143,92,133,0
154,143,99,133,0
152,140,88,130,0
108,94,55,88,0
134,120,77,110,0
135,126,83,110,0
134,120,77,113,0
134,120,76,110,0
133,119,74,110,0
134,119,76,110,0
133,118,82,110,0
133,118,74,110,0
133,119,76,110,0
132,118,74,110,0
185,167,114,155,0
176,171,111,155,0
175,164,110,152,0
182,164,111,152,0
173,162,109,152,0
167,149,103,139,0
167,149,98,143,0
191,176,126,168,0
184,167,116,159,0
185,168,119,162,0
184,169,119,162,0
185,169,119,162,0
185,169,119,162,0
198,181,135,178,0
207,194,146,188,0
208,194,145,188,0
208,194,145,188,0
208,194,146,188,0
208,194,147,191,0
143,122,72,117,0
141,122,71,113,0
142,123,72,117,0
144,132,82,120,0
146,132,82,120,0
150,130,81,126,0
164,143,90,139,0
167,146,102,139,0
168,146,95,139,0
168,146,94,143,0
168,153,102,143,0
168,148,95,143,0
166,147,92,139,0
167,153,92,139,0
168,148,94,143,0
170,156,98,146,0
168,148,94,143,0
218,199,159,197,0
184,156,105,155,0
184,156,105,155,0
183,157,105,155,0
183,163,105,155,0
186,159,109,159,0
183,155,103,155,0
184,155,104,175,0
183,154,103,152,0
185,156,105,155,0
184,155,104,155,0
184,155,104,152,0
179,155,104,149,0
180,149,97,149,0
180,149,98,149,0
180,148,95,149,0
181,150,100,152,0
172,143,92,143,0
173,144,92,143,0
173,145,93,143,0
182,147,94,146,0
175,147,95,146,0
175,154,104,149,0
176,149,95,146,0
203,181,130,178,0
202,179,127,178,0
203,181,131,178,0
201,180,129,178,0
203,180,136,178,0
203,181,130,178,0
206,184,142,181,0
207,186,136,181,0
209,187,138,184,0
209,188,140,184,0
200,178,126,175,0
203,181,137,178,0
204,183,132,181,0
205,185,134,181,0
209,189,140,188,0
209,191,142,188,0
216,200,153,194,0
177,149,98,149,0
182,163,111,152,0
183,156,105,155,0
184,165,114,159,0
185,161,108,159,0
188,164,119,162,0
165,134,87,133,0
166,134,87,155,0
173,142,97,136,0
167,136,88,136,0
167,135,88,133,0
169,138,90,136,0
167,134,87,133,0
168,140,95,136,0
167,134,89,136,0
173,141,92,143,0
172,140,93,143,0
173,141,93,143,0
177,148,97,146,0
177,146,98,168,0
183,146,97,146,0
175,144,94,146,0
175,144,104,146,0
170,139,88,136,0
161,131,81,130,0
144,133,90,120,0
136,121,76,113,0
138,123,77,113,0
143,123,77,113,0
124,115,66,123,0
153,147,95,133,0
153,147,97,133,0
153,147,97,133,0
153,147,97,133,0
152,147,97,136,0
157,151,110,139,0
157,151,103,139,0
157,152,103,139,0
158,152,111,139,0
157,152,103,139,0
157,152,103,139,0
159,153,111,143,0
159,154,104,143,0
161,154,104,143,0
167,155,106,143,0
161,154,105,162,0
166,154,105,143,0
161,155,105,143,0
159,154,111,143,0
161,155,106,143,0
156,151,97,136,0
156,150,97,136,0
155,149,95,136,0
155,155,95,136,0
154,148,94,136,0
153,148,94,136,0
158,148,95,136,0
152,147,94,152,0
152,147,93,136,0
152,147,93,133,0
151,147,93,136,0
151,146,93,133,0
152,146,93,133,0
153,147,94,136,0
162,158,99,139,0
162,153,99,139,0
161,153,99,139,0
169,154,102,143,0
163,155,100,143,0
163,155,100,143,0
162,155,100,143,0
162,154,100,143,0
168,155,102,143,0
164,156,103,146,0
164,164,103,146,0
164,156,103,143,0
164,157,103,143,0
164,156,102,146,0
162,163,103,143,0
163,156,102,143,0
162,157,102,143,0
162,156,102,143,0
161,155,99,162,0
161,154,102,143,0
163,157,103,143,0
165,159,105,146,0
133,123,79,113,0
129,119,85,110,0
130,121,77,110,0
134,124,81,113,0
132,123,79,113,0
137,129,78,110,0
131,122,79,113,0
130,121,77,110,0
130,121,78,110,0
135,126,77,110,0
132,121,77,110,0
130,122,79,113,0
153,139,89,133,0
156,148,99,133,0
153,139,89,130,0
154,141,90,133,0
154,146,98,133,0
150,136,85,126,0
150,137,87,130,0
150,137,87,126,0
151,139,88,130,0
151,138,87,130,0
148,142,84,130,0
151,137,85,126,0
155,142,90,133,0
182,164,104,159,0
182,165,105,159,0
182,164,113,155,0
181,164,105,155,0
181,164,104,162,0
180,163,104,155,0
180,164,103,155,0
181,164,111,155,0
180,162,103,155,0
153,135,81,130,0
157,141,92,133,0
156,140,84,130,0
156,140,84,133,0
162,138,82,130,0
155,139,83,130,0
155,139,83,133,0
155,139,83,130,0
155,139,83,130,0
165,147,97,139,0
164,146,88,139,0
164,146,88,136,0
170,146,88,136,0
163,145,88,136,0
163,151,95,139,0
164,146,88,139,0
163,145,88,159,0
170,145,87,136,0
158,137,82,126,0
153,134,78,126,0
159,134,78,126,0
153,134,78,126,0
153,134,78,126,0
153,134,78,126,0
161,140,87,133,0
158,140,84,133,0
158,140,84,133,0
158,146,84,130,0
158,140,84,133,0
158,146,83,133,0
171,153,97,146,0
171,154,103,146,0
170,153,95,146,0
169,152,95,143,0
169,153,95,143,0
168,152,95,146,0
169,152,102,143,0
168,152,94,146,0
168,152,94,146,0
168,152,94,143,0
168,151,94,143,0
181,168,109,155,0
181,162,108,155,0
182,163,116,155,0
182,163,109,159,0
183,164,110,178,0
182,154,100,146,0
171,150,98,155,0
171,149,97,146,0
172,150,97,143,0
171,156,98,146,0
171,149,97,146,0
177,150,97,146,0
172,150,97,146,0
173,152,108,149,0
176,156,105,152,0
205,191,148,184,0
196,180,125,172,0
188,172,114,162,0
187,171,113,165,0
195,172,114,165,0
187,171,113,165,0
195,171,113,165,0
187,171,113,165,0
187,171,113,162,0
187,171,111,162,0
187,171,111,165,0
187,171,111,175,0
188,165,106,155,0
182,165,108,159,0
180,157,102,149,0
176,157,100,152,0
198,173,121,172,0
199,174,122,172,0
198,175,130,172,0
199,175,121,172,0
99,174,122,172,0
198,175,121,172,0
198,174,121,172,0
198,174,122,172,0
187,162,106,159,0
187,163,106,159,0
187,162,106,159,0
187,162,106,159,0
187,162,108,159,0
187,162,106,178,0
194,168,114,159,0
190,165,113,162,0
186,163,116,155,0
178,144,97,146,0
177,144,97,146,0
176,142,97,146,0
175,142,97,146,0
181,148,97,146,0
176,143,97,146,0
177,143,95,159,0
191,154,110,155,0
185,154,113,175,0
185,154,111,155,0
185,153,110,155,0
191,155,113,159,0
184,152,109,155,0
183,152,108,155,0
183,152,108,152,0
189,168,116,159,0
191,164,111,165,0
193,166,121,165,0
194,166,113,165,0
191,164,110,162,0
